Lastest_revision,Code,Class,Order,Family,Genus,Scientific_name_2024,Scientific_name,Common_name,Diet,Strata,IUCN,Note
30/04/23,BUTMAG,Aves,Accipitriformes,Accipitridae,Buteo,Buteo magnirostris,Buteo magnirostris,Roadside hawk,Herbivore,Mixed-low,LC,
30/04/23,BUTURU,Aves,Accipitriformes,Accipitridae,Buteogallus,Buteogallus urubitinga,Buteogallus urubitinga,Great black hawk,Herbivore,Mixed-low,LC,
30/04/23,ICTPLU,Aves,Accipitriformes,Accipitridae,Ictinia,Ictinia plumbea,Ictinia plumbea,Plumbeous kite,Herbivore,Mixed-low,LC,
30/04/23,LEUMEL,Aves,Accipitriformes,Accipitridae,Leucopternis,Leucopternis melanops,Leucopternis melanops,Black-faced hawk,Herbivore,Mixed-low,LC,
30/04/23,LEUSCH,Aves,Accipitriformes,Accipitridae,Leucopternis,Leucopternis schistacea,Leucopternis schistacea,Slate-colored hawk,Herbivore,Mixed-low,LC,
30/04/23,SPIORN,Aves,Accipitriformes,Accipitridae,Spizaetus,Spizaetus ornatus,Spizaetus ornatus,Ornate hawk-eagle,Herbivore,Mixed-low,NT,
30/04/23,NYCAET,Aves,Caprimulgiformes,Nyctibiidae,Nyctibius,Nyctibius aethereus,Nyctibius aethereus,Long-tailed potoo,Herbivore,Mixed,LC,
30/04/23,NYCGRA,Aves,Caprimulgiformes,Nyctibiidae,Nyctibius,Nyctibius grandis,Nyctibius grandis,Great potoo,Herbivore,Mixed,LC,
30/04/23,NYCGRI,Aves,Caprimulgiformes,Nyctibiidae,Nyctibius,Nyctibius griseus,Nyctibius griseus,Common potoo,Herbivore,Mixed,LC,
30/04/23,NYCOCE,Aves,Caprimulgiformes,Caprimulgidae,Nyctiphrynus,Nyctiphrynus ocellatus,Nyctiphrynus ocellatus,Ocellated poorwill,Herbivore,Terrestrial,LC,
30/04/23,FLOMEL,Aves,Caprimulgiformes,Trochilidae,Florisuga,Florisuga mellivora,Florisuga mellivora,White-necked jacobin,Herbivore,Mixed-low,LC,
30/04/23,HELAUR,Aves,Caprimulgiformes,Trochilidae,Heliodoxa,Heliodoxa aurescens,Heliodoxa aurescens,Gould's brilliant,Herbivore,Mixed-low,LC,
30/04/23,HELSCH,Aves,Caprimulgiformes,Trochilidae,Heliodoxa,Heliodoxa schreibersii,Heliodoxa schreibersii,Black-throated brilliant,Herbivore,Mixed-low,LC,
30/04/23,PHAATR,Aves,Caprimulgiformes,Trochilidae,Phaethornis,Phaethornis atrimentalis,Phaethornis atrimentalis,Black-throated hermit,Herbivore,Mixed-low,LC,
30/04/23,PHABOU,Aves,Caprimulgiformes,Trochilidae,Phaethornis,Phaethornis bourcieri,Phaethornis bourcieri,Straight-billed hermit,Herbivore,Mixed-low,LC,
30/04/23,PHAMAL,Aves,Caprimulgiformes,Trochilidae,Phaethornis,Phaethornis malaris,Phaethornis malaris,Great-billed hermit,Herbivore,Mixed-low,LC,
30/04/23,PHARUB,Aves,Caprimulgiformes,Trochilidae,Phaethornis,Phaethornis ruber,Phaethornis ruber,Reddish hermit,Herbivore,Mixed-low,LC,
30/04/23,THAFUR,Aves,Caprimulgiformes,Trochilidae,Thalurania,Thalurania furcata,Thalurania furcata,Fork-tailed woodnymph,Herbivore,Mixed-low,LC,
30/04/23,GEOMON,Aves,Columbiformes,Columbidae,Geotrygon,Geotrygon montana,Geotrygon montana,Ruddy quail-dove,Herbivore,Terrestrial,LC,Has white band at shoulder on wing
30/04/23,GEOSAP,Aves,Columbiformes,Columbidae,Geotrygon,Geotrygon saphirina,Geotrygon saphirina,Sapphire quail-dove,Herbivore,Terrestrial,LC,
30/04/23,LEPRUF,Aves,Columbiformes,Columbidae,Leptotila,Leptotila rufaxilla,Leptotila rufaxilla,Grey-fronted dove,Herbivore,Mixed,LC,white wing band absent
30/04/23,COLPLU,Aves,Columbiformes,Columbidae,Patagioenas,Patagioenas plumbea,Patagioenas plumbea,Plumbeous pigeon,Herbivore,Mixed-low,LC,
30/04/23,COLSUB,Aves,Columbiformes,Columbidae,Patagioenas,Patagioenas subvinacea,Patagioenas subvinacea,Ruddy pigeon,Herbivore,Mixed-low,LC,
30/04/23,BARMAR,Aves,Coraciiformes,Motmotidae,Baryphthengus,Baryphthengus martii,Baryphthengus martii,Rufous motmot,Herbivore,Mixed-low,LC,
30/04/23,ELEPLA,Aves,Coraciiformes,Motmotidae,Electron,Electron platyrhynchum,Electron platyrhynchum,Broad-billed motmot,Herbivore,Mixed-low,LC,
30/04/23,MOMMOM,Aves,Coraciiformes,Motmotidae,Momotus,Momotus momota,Momotus momota,Amazonian motmot,Herbivore,Mixed-low,LC,
