"","Scientific_name","Lastest_revision","Code","Class","Order","Family.x","Genus.x","Scientific_name_2024","Common_name","Diet","Strata","IUCN","Note","MSW3_ID","Genus.y","Species","Family.y","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.Source","Diet.Certainty","ForStrat.Value","ForStrat.Certainty","ForStrat.Comment","Activity.Nocturnal","Activity.Crepuscular","Activity.Diurnal","Activity.Source","Activity.Certainty","BodyMass.Value","BodyMass.Source","BodyMass.SpecLevel","Full.Reference","scientificNameStd"
"1","Alouatta seniculus","30/04/23","ALOSEN","Mammalia","Primata","Atelidae","Alouatta","Alouatta seniculus","Columbian red howler monkey","Herbivore","Arboreal","LC","",627,"Alouatta","seniculus","Atelidae",0,0,0,0,0,0,40,0,0,60,"Ref_1","ABC","Ar","A","",0,0,1,"Ref_1","ABC",6145.54,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Alouatta seniculus"
"2","Aotus vociferans","30/04/23","AOTVOC","Mammalia","Primata","Aotidae","Aotus","Aotus vociferans","Spix's night monkey","Herbivore","Arboreal","LC","",640,"Aotus","vociferans","Aotidae",20,0,0,0,10,0,20,10,20,20,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",872.99,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Aotus vociferans"
"3","Ateles belzebuth","30/04/23","ATEBEL","Mammalia","Primata","Atelidae","Ateles","Ateles belzebuth","White-bellied spider monkey","Herbivore","Arboreal","EN","Wierdly the IUCN range is missing any info in Ecuador so strange",619,"Ateles","belzebuth","Atelidae",10,0,0,0,10,0,60,0,10,10,"Ref_1","ABC","Ar","A","",0,0,1,"Ref_1","ABC",5000,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Ateles belzebuth"
"4","Atelocynus microtis","30/04/23","ATEMIC","Mammalia","Carnivora","Canidae","Atelocynus","Atelocynus microtis","Short-eared dog","Herbivore","Terrestrial","NT","",4924,"Atelocynus","microtis","Canidae",0,80,0,0,0,0,0,0,0,20,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",7749.97,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Atelocynus microtis"
"5","Bassaricyon alleni","10/05/23","BASALE","Mammalia","Carnivora","Procyonidae","Bassaricyon","Bassaricyon alleni","Eastern lowland olingo","Omnivore","Mixed","LC","Added by me was not in here anywhere oddly",5063,"Bassaricyon","alleni","Procyonidae",20,10,0,0,0,0,70,0,0,0,"Ref_1","ABC","Ar","A","",1,1,0,"Ref_1","ABC",1235.01,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Bassaricyon alleni"
"6","Bradypus variegatus","30/04/23","BRAVAR","Mammalia","Pilosa","Bradypodidae","Bradypus","Bradypus variegatus","Brown-throated sloth","Herbivore","Arboreal","LC","",440,"Bradypus","variegatus","Bradypodidae",0,0,0,0,0,0,0,0,0,100,"Ref_1","ABC","Ar","A","",1,1,1,"Ref_1","ABC",4335.01,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Bradypus variegatus"
"7","Cabassous unicinctus","30/04/23","CABUNI","Mammalia","Cingulata","Chlamyphoridae","Cabassous","Cabassous unicinctus","Southern naked-tailed armadillo","Herbivore","Terrestrial","LC","",430,"Cabassous","unicinctus","Dasypodidae",100,0,0,0,0,0,0,0,0,0,"Ref_1","ABC","G","A","",1,1,0,"Ref_1","ABC",4799.99,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Cabassous unicinctus"
"8","Callicebus discolor","30/04/23","PLEDIS","Mammalia","Primata","Pitheciidae","Plecturocebus","Plecturocebus discolor","Red titi monkey","Herbivore","Arboreal","LC","",662,"Callicebus","discolor","Pitheciidae",20,0,0,0,0,0,50,0,0,30,"Ref_1","ABC","Ar","A","",0,0,1,"Ref_1","ABC",1005,"Ref_127",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Plecturocebus discolor"
"9","Callithrix pygmaea","30/04/23","CEBNIV","Mammalia","Primata","Callitrichidae","Cebuella","Cebuella pygmaea","Western pygmy marmoset","Herbivore","Arboreal","VU","",594,"Callithrix","pygmaea","Cebidae",20,0,0,0,20,0,0,60,0,0,"Ref_1","ABC","Ar","A","",0,0,1,"Ref_1","ABC",125,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Cebuella pygmaea"
"10","Caluromys lanatus","30/04/23","CALLAN","Mammalia","Didelphimorpha","Didelphidae","Caluromys","Caluromys lanatus","Brown-eared woolly opossum","Omnivore","Mixed","LC","",8,"Caluromys","lanatus","Didelphidae",20,0,0,0,10,0,20,0,10,40,"Ref_1","ABC","Ar","A","",1,1,0,"Ref_1","ABC",325,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Caluromys lanatus"
